model,year,transmission,mileage,fuelType,tax,mpg,engineSize,make,price
Land Cruiser,2019,Semi-Auto,15200,Diesel,145.0,30.1,2.8,toyota,44935
Aygo,2017,Manual,13485,Petrol,145.0,69.0,1.0,toyota,7495
Superb,2017,Semi-Auto,45190,Diesel,30.0,61.4,2.0,skoda,16000
Corsa,2017,Manual,14500,Petrol,145.0,49.6,1.4,vauxhall,9995
Combo Life,2019,Manual,7487,Diesel,145.0,53.3,1.5,vauxhall,13798
Fiesta,2019,Manual,1183,Petrol,145.0,58.9,1.0,ford,14950
CLS Class,2013,Automatic,71004,Diesel,145.0,55.0,2.1,mercedes,10200
EcoSport,2018,Manual,8750,Petrol,145.0,54.3,1.0,ford,14495
Tourneo Custom,2016,Manual,11960,Diesel,200.0,44.8,2.0,ford,19698
Kona,2018,Manual,23001,Petrol,145.0,52.3,1.0,hyundai,12498
Polo,2017,Manual,34500,Petrol,145.0,60.1,1.2,vw,9995
C Class,2019,Automatic,16281,Petrol,145.0,47.1,1.5,mercedes,25446
C Class,2019,Semi-Auto,124,Petrol,,,2.0,mercedes,36599
Q3,2016,Manual,22279,Diesel,30.0,61.4,2.0,audi,15000
Octavia,2016,Semi-Auto,20745,Petrol,30.0,56.5,1.4,skoda,12970
Golf,2016,Manual,34570,Diesel,0.0,74.3,1.6,vw,10980
B Class,2020,Semi-Auto,363,Petrol,145.0,44.8,1.3,mercedes,26790
Grandland X,2019,Automatic,6500,Petrol,145.0,43.5,1.2,vauxhall,23790
Focus,2019,Manual,451,Petrol,,,1.0,ford,18650
Polo,2017,Manual,16000,Petrol,20.0,58.9,1.0,vw,9301
Mondeo,2020,Semi-Auto,6897,Diesel,145.0,58.9,2.0,ford,22999
V Class,2016,Automatic,43000,Diesel,200.0,45.6,2.1,mercedes,25490
X4,2018,Semi-Auto,10920,Diesel,150.0,42.8,2.0,bmw,32000
Hilux,2012,Manual,99600,Diesel,265.0,38.7,2.5,toyota,7750
Crossland X,2017,Manual,22660,Petrol,145.0,57.7,1.2,vauxhall,11311
C Class,2018,Automatic,22000,Diesel,,,2.1,mercedes,24750
Galaxy,2007,Manual,134000,Diesel,235.0,44.8,1.8,ford,3395
Superb,2016,Manual,54280,Diesel,20.0,67.3,2.0,skoda,13490
Focus,2018,Manual,18256,Petrol,145.0,61.4,1.0,ford,11341
Mondeo,2017,Semi-Auto,30191,Diesel,125.0,58.9,2.0,ford,12950
Q7,2018,Automatic,48700,Diesel,150.0,32.8,3.0,audi,40444
Focus,2018,Manual,31643,Diesel,,,1.5,ford,12395
C Class,2018,Automatic,16834,Diesel,145.0,60.1,2.1,mercedes,18999
Focus,2018,Manual,21023,Petrol,,,1.0,ford,11499
C Class,2019,Semi-Auto,4889,Petrol,,,2.0,mercedes,30249
Octavia,2016,Manual,112000,Diesel,0.0,74.3,1.6,skoda,6491
A6,2016,Semi-Auto,66506,Diesel,235.0,43.5,3.0,audi,22990
Aygo,2019,Manual,6030,Petrol,145.0,56.5,1.0,toyota,8582
A4,2019,Automatic,7400,Petrol,145.0,38.7,2.0,audi,25500
Q7,2016,Semi-Auto,14727,Diesel,160.0,48.7,3.0,audi,30790
3 Series,2017,Automatic,23123,Petrol,145.0,54.3,1.5,bmw,14495
C Class,2015,Automatic,37200,Diesel,,,2.1,mercedes,15495
S Class,2017,Semi-Auto,22906,Diesel,145.0,52.3,3.0,mercedes,34999
A Class,2015,Semi-Auto,33330,Diesel,20.0,68.9,2.1,mercedes,15500
X5,2016,Automatic,46085,Diesel,200.0,47.1,3.0,bmw,28995
Golf,2009,Semi-Auto,73000,Petrol,240.0,38.2,2.0,vw,8995
3 Series,2011,Manual,88850,Petrol,160.0,44.8,2.0,bmw,4995
Q5,2019,Automatic,2000,Diesel,145.0,39.2,2.0,audi,30950
X3,2016,Automatic,63000,Diesel,200.0,47.9,3.0,bmw,20750
Tiguan Allspace,2019,Automatic,21963,Diesel,150.0,39.2,2.0,vw,25000
C Class,2017,Semi-Auto,13000,Petrol,,,2.0,mercedes,25599
RAV4,2016,Automatic,11544,Hybrid,20.0,57.6,2.5,toyota,19490
Sharan,2019,Semi-Auto,3000,Diesel,145.0,40.9,2.0,vw,29995
A3,2020,Manual,1500,Diesel,145.0,55.4,2.0,audi,26500
Fiesta,2018,Manual,6310,Petrol,145.0,64.2,1.1,ford,8940
Corsa,2017,Manual,30000,Petrol,145.0,55.4,1.4,vauxhall,7795
E Class,2019,Semi-Auto,14777,Diesel,145.0,67.3,2.0,mercedes,25495
Tucson,2016,Manual,58791,Diesel,30.0,61.7,1.7,hyundai,12498
Q2,2019,Manual,11286,Petrol,145.0,42.8,1.5,audi,19900
C Class,2019,Semi-Auto,13469,Diesel,145.0,58.9,2.0,mercedes,24399
Focus,2017,Manual,31967,Diesel,,,1.5,ford,9067
CL Class,2017,Automatic,39962,Diesel,125.0,58.9,2.1,mercedes,18300
1 Series,2018,Semi-Auto,21341,Petrol,145.0,32.5,3.0,bmw,22320
A6,2016,Manual,35750,Diesel,125.0,58.9,2.0,audi,19390
Golf,2019,Automatic,6772,Petrol,145.0,45.6,1.5,vw,19490
Fiesta,2013,Manual,11010,Petrol,0.0,65.7,1.0,ford,7200
Scala,2020,Semi-Auto,3000,Petrol,150.0,44.8,1.5,skoda,22500
1 Series,2017,Automatic,69643,Diesel,30.0,62.8,2.0,bmw,11700
Scirocco,2014,Manual,30000,Petrol,125.0,52.3,1.4,vw,10698
Grandland X,2019,Automatic,10,Diesel,145.0,57.7,1.5,vauxhall,17995
A5,2019,Automatic,1870,Petrol,145.0,37.7,2.0,audi,33950
X3,2019,Semi-Auto,4786,Diesel,145.0,48.7,3.0,bmw,37963
3 Series,2019,Semi-Auto,4112,Diesel,145.0,49.6,2.0,bmw,30950
Polo,2018,Manual,17150,Petrol,150.0,60.1,1.0,vw,10999
Insignia,2015,Manual,50050,Diesel,30.0,65.7,1.6,vauxhall,9500
Fiesta,2016,Manual,46730,Petrol,0.0,65.7,1.0,ford,8800
Arteon,2019,Semi-Auto,4482,Diesel,145.0,44.1,2.0,vw,26995
Yaris,2014,Automatic,65044,Hybrid,0.0,76.3,1.5,toyota,8975
Superb,2016,Manual,88505,Diesel,20.0,68.9,2.0,skoda,9799
Mokka,2015,Manual,42523,Petrol,205.0,43.5,1.6,vauxhall,7298
Tiguan,2019,Semi-Auto,7459,Diesel,145.0,45.6,2.0,vw,27998
Mokka X,2017,Semi-Auto,8182,Petrol,145.0,43.5,1.4,vauxhall,14000
Corsa,2013,Manual,45640,Petrol,30.0,55.4,1.0,vauxhall,3498
Q7,2019,Automatic,8500,Diesel,145.0,33.2,3.0,audi,45990
Ka+,2019,Manual,1000,Petrol,150.0,47.9,1.2,ford,10799
Q3,2017,Semi-Auto,24250,Petrol,145.0,47.9,1.4,audi,21990
3 Series,2019,Semi-Auto,8886,Diesel,145.0,67.3,2.0,bmw,22495
Crossland X,2018,Manual,4973,Petrol,145.0,47.1,1.2,vauxhall,13995
Yaris,2004,Automatic,100000,Petrol,160.0,44.8,1.3,toyota,2495
Fiesta,2019,Manual,11509,Petrol,145.0,40.3,1.5,ford,15990
E Class,2019,Semi-Auto,11264,Diesel,145.0,70.6,2.0,mercedes,30640
Kodiaq,2020,Semi-Auto,1000,Diesel,145.0,42.2,2.0,skoda,25995
E Class,2020,Automatic,6000,Diesel,145.0,57.7,2.0,mercedes,42900
Focus,2017,Manual,12595,Petrol,,,1.0,ford,12995
Golf,2018,Manual,16365,Diesel,150.0,61.4,1.6,vw,12498
Astra,2020,Manual,10,Petrol,150.0,54.3,1.2,vauxhall,15998
A3,2019,Semi-Auto,8585,Petrol,145.0,41.5,1.5,audi,23450
Fabia,2019,Manual,3944,Petrol,145.0,52.3,1.0,skoda,12999
Kona,2018,Manual,13812,Petrol,145.0,52.3,1.0,hyundai,12377
Auris,2014,Semi-Auto,4500,Petrol,145.0,49.6,1.6,toyota,8995
Tiguan,2013,Semi-Auto,32678,Diesel,205.0,47.7,2.0,vw,10995
C Class,2017,Automatic,27040,Diesel,,,2.1,mercedes,16267
I30,2015,Manual,47588,Petrol,145.0,48.7,1.4,hyundai,7991
X5,2016,Automatic,40732,Hybrid,0.0,85.6,2.0,bmw,28299
Tiguan,2016,Manual,11000,Diesel,145.0,53.3,2.0,vw,11995
Up,2017,Manual,23450,Petrol,150.0,64.2,1.0,vw,7391
Viva,2016,Manual,40407,Petrol,20.0,62.8,1.0,vauxhall,5400
A Class,2019,Semi-Auto,5662,Petrol,145.0,53.3,1.3,mercedes,24900
GLC Class,2018,Automatic,12718,Diesel,145.0,56.5,2.1,mercedes,29495
Octavia,2015,Manual,26868,Diesel,0.0,74.3,1.6,skoda,8994
Octavia,2013,Manual,66860,Diesel,20.0,68.9,2.0,skoda,7490
Touareg,2018,Semi-Auto,40340,Diesel,145.0,34.0,3.0,vw,32995
X3,2019,Automatic,8794,Diesel,145.0,36.7,3.0,bmw,38000
Viva,2018,Manual,10430,Petrol,145.0,61.4,1.0,vauxhall,6990
Q3,2020,Semi-Auto,4000,Petrol,145.0,31.0,2.0,audi,41500
B Class,2019,Automatic,10,Diesel,145.0,55.4,2.0,mercedes,23480
Corolla,2019,Automatic,9111,Hybrid,140.0,78.5,1.8,toyota,22485
Mokka X,2017,Manual,31056,Petrol,150.0,47.1,1.4,vauxhall,12190
Fiesta,2017,Manual,26250,Petrol,150.0,65.7,1.0,ford,9999
RS3,2019,Semi-Auto,5894,Petrol,150.0,30.1,2.5,audi,37900
E Class,2019,Semi-Auto,1000,Diesel,145.0,42.8,3.0,mercedes,41519
Mokka,2017,Manual,13276,Diesel,145.0,68.9,1.6,vauxhall,12000
I10,2016,Manual,15000,Petrol,30.0,57.6,1.2,hyundai,7995
Polo,2019,Semi-Auto,3185,Petrol,145.0,39.8,2.0,vw,18480
E Class,2019,Automatic,10030,Diesel,145.0,51.4,3.0,mercedes,32480
Mokka X,2019,Automatic,5900,Diesel,145.0,47.1,1.6,vauxhall,16820
C Class,2017,Automatic,20698,Diesel,145.0,67.3,2.1,mercedes,24202
Fiesta,2012,Manual,45000,Petrol,125.0,50.4,1.2,ford,5995
Polo,2017,Manual,17351,Petrol,145.0,58.9,1.0,vw,9899
C Class,2009,Automatic,96000,Diesel,235.0,42.2,2.1,mercedes,4200
Corsa,2013,Manual,65000,Petrol,125.0,51.4,1.2,vauxhall,5471
5 Series,2014,Semi-Auto,52598,Diesel,30.0,62.8,2.0,bmw,12298
KA,2015,Manual,41830,Petrol,30.0,57.7,1.2,ford,5000
Aygo,2017,Semi-Auto,18381,Petrol,145.0,67.0,1.0,toyota,8495
Q5,2019,Automatic,5135,Diesel,145.0,38.2,2.0,audi,36985
Corsa,2019,Manual,4936,Petrol,145.0,43.5,1.4,vauxhall,8491
EcoSport,2018,Manual,18947,Petrol,145.0,54.3,1.0,ford,11491
Scala,2019,Automatic,499,Diesel,145.0,54.3,1.6,skoda,16995
C Class,2017,Semi-Auto,23760,Diesel,30.0,64.2,2.1,mercedes,18998
A4,2019,Automatic,4322,Diesel,145.0,49.6,2.0,audi,26500
Kuga,2017,Manual,51904,Diesel,30.0,64.2,1.5,ford,12227
A Class,2019,Semi-Auto,8780,Petrol,145.0,53.3,1.3,mercedes,23999
Tiguan,2019,Manual,8896,Diesel,145.0,47.9,2.0,vw,25990
T-Cross,2019,Manual,2000,Petrol,145.0,47.9,1.0,vw,19950
I40,2016,Manual,38572,Diesel,20.0,67.3,1.7,hyundai,8850
Fiesta,2018,Manual,32478,Petrol,145.0,62.8,1.0,ford,10890
Fiesta,2017,Manual,5806,Petrol,145.0,54.3,1.2,ford,8497
C Class,2019,Automatic,5465,Petrol,145.0,44.1,2.0,mercedes,30516
Fiesta,2009,Manual,67253,Petrol,145.0,49.6,1.2,ford,3800
Yaris,2011,Manual,82330,Petrol,30.0,54.3,1.3,toyota,3500
Fiesta,2016,Manual,31003,Petrol,0.0,65.7,1.0,ford,8100
Fiesta,2018,Manual,6155,Petrol,145.0,55.4,1.1,ford,9991
Q3,2019,Semi-Auto,15648,Petrol,145.0,31.7,2.0,audi,29850
C-MAX,2017,Manual,10503,Diesel,20.0,68.9,1.5,ford,10998
I30,2017,Semi-Auto,29820,Petrol,150.0,51.4,1.4,hyundai,11238
Passat,2019,Semi-Auto,12230,Diesel,150.0,49.6,2.0,vw,20450
B-MAX,2013,Manual,31910,Diesel,20.0,70.6,1.6,ford,6899
S-MAX,2019,Manual,8457,Diesel,145.0,54.3,2.0,ford,25399
Fiesta,2017,Manual,19016,Petrol,145.0,64.2,1.1,ford,9000
Focus,2015,Manual,30367,Petrol,,,2.0,ford,13999
Polo,2016,Semi-Auto,31500,Petrol,20.0,60.1,1.2,vw,9695
A1,2017,Manual,8128,Petrol,30.0,55.4,1.4,audi,15995
S Class,2016,Automatic,42000,Diesel,165.0,50.4,3.0,mercedes,31990
2 Series,2016,Automatic,50791,Diesel,20.0,68.9,2.0,bmw,11000
Mokka X,2017,Manual,5778,Petrol,145.0,47.1,1.4,vauxhall,10750
T-Roc,2019,Semi-Auto,5000,Petrol,145.0,32.5,2.0,vw,32407
Fiesta,2017,Manual,6046,Diesel,0.0,78.5,1.5,ford,11950
A4,2019,Automatic,6888,Petrol,150.0,38.7,2.0,audi,28950
Polo,2014,Manual,24959,Petrol,20.0,58.9,1.2,vw,8997
A1,2019,Semi-Auto,3300,Petrol,150.0,40.9,2.0,audi,22900
A8,2017,Semi-Auto,32066,Petrol,145.0,30.1,4.0,audi,35850
Astra,2016,Manual,26737,Diesel,20.0,72.4,1.6,vauxhall,9499
Octavia,2019,Semi-Auto,5375,Diesel,150.0,44.8,2.0,skoda,19995
1 Series,2019,Semi-Auto,5882,Petrol,145.0,54.3,1.5,bmw,18450
Zafira,2015,Manual,38986,Diesel,145.0,55.4,2.0,vauxhall,8495
Octavia,2016,Manual,59030,Petrol,30.0,55.4,1.4,skoda,9040
CL Class,2019,Semi-Auto,9859,Diesel,145.0,51.4,2.2,mercedes,26449
Golf,2016,Manual,18221,Diesel,20.0,67.3,2.0,vw,17570
A3,2018,Manual,25000,Petrol,150.0,42.2,1.5,audi,19995
3 Series,2017,Automatic,17630,Diesel,145.0,49.6,3.0,bmw,23400
A6,2017,Semi-Auto,34029,Diesel,30.0,61.4,2.0,audi,21290
I10,2018,Manual,10512,Petrol,145.0,60.1,1.0,hyundai,7518
Golf,2016,Semi-Auto,62908,Diesel,30.0,62.8,2.0,vw,14275
C Class,2015,Semi-Auto,24923,Diesel,30.0,64.2,2.1,mercedes,17636
Focus,2016,Manual,48000,Diesel,0.0,74.3,1.5,ford,9995
5 Series,2015,Automatic,64560,Diesel,30.0,62.8,2.0,bmw,13450
Mokka X,2019,Manual,9320,Petrol,145.0,39.2,1.4,vauxhall,14399
A4,2016,Semi-Auto,57819,Diesel,0.0,72.4,2.0,audi,12816
Tiguan,2014,Manual,60010,Diesel,165.0,48.7,2.0,vw,11991
A5,2019,Semi-Auto,11479,Petrol,145.0,39.8,2.0,audi,26990
Astra,2019,Manual,10,Diesel,145.0,72.4,1.6,vauxhall,15995
Insignia,2018,Manual,6494,Petrol,145.0,50.4,1.5,vauxhall,13990
Mokka X,2017,Manual,13231,Petrol,150.0,47.1,1.4,vauxhall,12471
Golf,2016,Manual,41065,Diesel,0.0,74.3,1.6,vw,11501
Fiesta,2018,Manual,9500,Petrol,150.0,56.5,1.0,ford,12500
Fiesta,2018,Manual,21979,Diesel,145.0,88.3,1.5,ford,11000
Q3,2017,Manual,22195,Petrol,145.0,49.6,1.4,audi,18698
Focus,2017,Semi-Auto,16515,Petrol,125.0,51.4,1.0,ford,12430
A4,2015,Semi-Auto,30431,Diesel,125.0,56.5,2.0,audi,15888
KA,2016,Manual,15084,Petrol,30.0,57.7,1.2,ford,5991
Fabia,2019,Manual,13596,Petrol,145.0,57.7,1.0,skoda,8933
Kona,2020,Automatic,2083,Hybrid,135.0,52.3,1.6,hyundai,25280
A3,2016,Manual,28403,Diesel,0.0,83.1,1.6,audi,11498
Yaris,2017,Automatic,51032,Petrol,30.0,58.0,1.3,toyota,8995
Grandland X,2018,Manual,10628,Diesel,145.0,70.6,1.6,vauxhall,14499
Astra,2015,Manual,41128,Petrol,165.0,44.8,1.6,vauxhall,7490
A3,2013,Manual,59447,Diesel,0.0,74.3,1.6,audi,7299
Mokka X,2019,Manual,50,Petrol,150.0,39.2,1.4,vauxhall,14400
C Class,2020,Semi-Auto,4999,Petrol,,,3.0,mercedes,41999
Fiesta,2016,Manual,22919,Petrol,0.0,65.7,1.0,ford,8298
Ioniq,2018,Semi-Auto,30381,Hybrid,135.0,78.5,1.6,hyundai,15490
Focus,2018,Manual,12900,Petrol,145.0,61.4,1.0,ford,12500
Mokka X,2019,Manual,2986,Petrol,145.0,39.2,1.4,vauxhall,13998
Golf,2014,Manual,37175,Diesel,20.0,68.9,2.0,vw,9899
EcoSport,2019,Manual,9969,Petrol,150.0,51.4,1.0,ford,15750
Tucson,2015,Manual,43169,Diesel,30.0,61.7,1.7,hyundai,11176
Focus,2019,Automatic,3824,Diesel,145.0,64.2,2.0,ford,17999
A1,2015,Manual,40383,Petrol,30.0,57.6,1.4,audi,9790
Polo,2014,Manual,65383,Petrol,125.0,51.4,1.2,vw,4998
Citigo,2017,Manual,4701,Petrol,20.0,64.2,1.0,skoda,7099
Up,2020,Manual,100,Petrol,145.0,54.3,1.0,vw,10980
4 Series,2019,Semi-Auto,9204,Petrol,150.0,46.3,2.0,bmw,25450
Citigo,2016,Manual,31654,Petrol,20.0,62.8,1.0,skoda,6195
GLC Class,2019,Automatic,15961,Petrol,150.0,38.7,2.0,mercedes,31000
Santa Fe,2017,Semi-Auto,39990,Diesel,235.0,42.8,2.2,hyundai,17599
Fiesta,2018,Manual,17519,Petrol,150.0,65.7,1.0,ford,11995
Focus,2018,Manual,7359,Petrol,145.0,57.7,1.0,ford,13295
Focus,2019,Automatic,9162,Diesel,150.0,54.3,1.5,ford,18770
Focus,2018,Manual,6000,Diesel,145.0,80.7,1.5,ford,15995
GLE Class,2016,Semi-Auto,52260,Diesel,235.0,42.8,3.0,mercedes,27499
Focus,2017,Manual,23572,Petrol,,,1.5,ford,11795
Crossland X,2020,Semi-Auto,1609,Petrol,150.0,44.1,1.2,vauxhall,16500
A Class,2019,Automatic,6224,Diesel,145.0,56.5,2.0,mercedes,25490
Astra,2015,Manual,44778,Petrol,145.0,48.7,1.4,vauxhall,6800
Yaris,2017,Manual,31475,Petrol,145.0,58.9,1.5,toyota,9270
Focus,2018,Manual,32860,Diesel,145.0,74.3,1.5,ford,12591
Amarok,2019,Automatic,6542,Diesel,260.0,33.6,3.0,vw,37999
Fiesta,2017,Manual,10187,Diesel,0.0,78.5,1.5,ford,9798
Tiguan,2019,Manual,15452,Diesel,145.0,47.9,2.0,vw,22356
1 Series,2016,Manual,17393,Diesel,30.0,65.7,2.0,bmw,13200
Yeti,2016,Automatic,21000,Petrol,125.0,51.4,1.2,skoda,10995
Vivaro,2018,Manual,22036,Diesel,150.0,40.9,1.6,vauxhall,18500
Q3,2013,Manual,73000,Diesel,145.0,54.3,2.0,audi,11477
C Class,2017,Automatic,26000,Petrol,,,3.0,mercedes,30999
